amount,category,date,description
12.50,Food,2024-01-01,Lunch
45.00,Groceries,2024-01-02,Trader Joe's
9.99,Subscription,2024-01-03,Netflix
60.00,Transport,2024-01-04,Gas
120.00,Shopping,2024-01-05,Clothes
15.00,Food,2024-01-06,Dinner
200.00,Rent,2024-01-07,Monthly rent
8.50,Coffee,2024-01-08,Starbucks
30.00,Entertainment,2024-01-09,Movies
75.00,Groceries,2024-01-10,Costco
20.00,Food,2024-01-11,Lunch
10.00,Coffee,2024-01-12,Cafe
150.00,Shopping,2024-01-13,Shoes
50.00,Transport,2024-01-14,Gas
18.00,Food,2024-01-15,Dinner
