amount,category,date,description
12.5,Food,2024-01-01,Lunch
45.0,Groceries,2024-01-02,Trader Joe's
9.99,Subscription,2024-01-03,Netflix
60.0,Transport,2024-01-04,Gas
120.0,Shopping,2024-01-05,Clothes
15.0,Food,2024-01-06,Dinner
200.0,Rent,2024-01-07,Monthly rent
8.5,Coffee,2024-01-08,Starbucks
30.0,Entertainment,2024-01-09,Movies
75.0,Groceries,2024-01-10,Costco
20.0,Food,2024-01-11,Lunch
10.0,Coffee,2024-01-12,Cafe
150.0,Shopping,2024-01-13,Shoes
50.0,Transport,2024-01-14,Gas
18.0,Food,2024-01-15,Dinner
